Year,Geography,Geography Type,Indicator,Value,Value Type
2013,Cannon,County,Lorazepam,1621,Count
2013,Cannon,County,All Opioids for Pain,27733,Count
2013,Cannon,County,Hydrocodone,14685,Count
2013,Cannon,County,Oxycodone,5922,Count
2013,Cannon,County,Tramadol,2106,Count
2013,Cannon,County,All Benzodiazepines,2157,Patients
2013,Cannon,County,Alprazolam,1062,Patients
2013,Cannon,County,Clonazepam,284,Patients
2013,Cannon,County,Diazepam,484,Patients
2013,Cannon,County,Lorazepam,422,Patients
2013,Cannon,County,All Opioids for Pain,5116,Patients
2013,Cannon,County,Hydrocodone,3663,Patients
2013,Cannon,County,Oxycodone,1583,Patients
2013,Cannon,County,Tramadol,769,Patients
2013,Cannon,County,All Benzodiazepines,898,Rate
2013,Cannon,County,Alprazolam,466,Rate
2013,Cannon,County,Clonazepam,108,Rate
2013,Cannon,County,Diazepam,141,Rate
2013,Cannon,County,Lorazepam,118,Rate
2013,Cannon,County,All Opioids for Pain,2013,Rate
2013,Cannon,County,Hydrocodone,1066,Rate
2013,Cannon,County,Oxycodone,430,Rate
2013,Cannon,County,Tramadol,153,Rate
2013,Carroll,County,All Benzodiazepines,30535,Count
2013,Carroll,County,Alprazolam,16028,Count
2013,Carroll,County,Clonazepam,4261,Count
2013,Carroll,County,Diazepam,3572,Count
2013,Carroll,County,Lorazepam,5052,Count
2013,Carroll,County,All Opioids for Pain,54175,Count
2013,Carroll,County,Hydrocodone,33331,Count
2013,Carroll,County,Oxycodone,7509,Count
2013,Carroll,County,Tramadol,5124,Count
2013,Carroll,County,All Benzodiazepines,5156,Patients
2013,Carroll,County,Alprazolam,2752,Patients
2013,Carroll,County,Clonazepam,816,Patients
2013,Carroll,County,Diazepam,905,Patients
2013,Carroll,County,Lorazepam,980,Patients
2013,Carroll,County,All Opioids for Pain,10835,Patients
2013,Carroll,County,Hydrocodone,8026,Patients
2013,Carroll,County,Oxycodone,2210,Patients
2013,Carroll,County,Tramadol,1890,Patients
2013,Carroll,County,All Benzodiazepines,1071,Rate
2013,Carroll,County,Alprazolam,562,Rate
2013,Carroll,County,Clonazepam,149,Rate
2013,Carroll,County,Diazepam,125,Rate
2013,Carroll,County,Lorazepam,177,Rate
2013,Carroll,County,All Opioids for Pain,1900,Rate
2013,Carroll,County,Hydrocodone,1169,Rate
2013,Carroll,County,Oxycodone,263,Rate
2013,Carroll,County,Tramadol,180,Rate
2013,Carter,County,All Benzodiazepines,57393,Count
2013,Carter,County,Alprazolam,27037,Count
2013,Carter,County,Clonazepam,12070,Count
2013,Carter,County,Diazepam,6125,Count
2013,Carter,County,Lorazepam,9287,Count
2013,Carter,County,All Opioids for Pain,87588,Count
2013,Carter,County,Hydrocodone,43697,Count
2013,Carter,County,Oxycodone,19511,Count
2013,Carter,County,Tramadol,12887,Count
2013,Carter,County,All Benzodiazepines,8644,Patients
2013,Carter,County,Alprazolam,4197,Patients
2013,Carter,County,Clonazepam,1638,Patients
2013,Carter,County,Diazepam,1373,Patients
2013,Carter,County,Lorazepam,1772,Patients
2013,Carter,County,All Opioids for Pain,17542,Patients
2013,Carter,County,Hydrocodone,11696,Patients
2013,Carter,County,Oxycodone,5452,Patients
2013,Carter,County,Tramadol,3755,Patients
2013,Carter,County,All Benzodiazepines,1001,Rate
2013,Carter,County,Alprazolam,472,Rate
2013,Carter,County,Clonazepam,211,Rate
2013,Carter,County,Diazepam,107,Rate
2013,Carter,County,Lorazepam,162,Rate
2013,Carter,County,All Opioids for Pain,1528,Rate
2013,Carter,County,Hydrocodone,762,Rate
2013,Carter,County,Oxycodone,340,Rate
2013,Carter,County,Tramadol,225,Rate
2013,Chattanooga and Hamilton Metro,Region,All Benzodiazepines,198774,Count
